cycles,duration_us,peak_apex_height_um,peak_during_burst_um,apex_at_burst_end_um,peak_time_us,peak_delay_after_burst_us,peak_is_window_clipped,peak_positive_mound_volume_pl,within_reduced_model_validity
10.0,1.0,0.22497676984813364,0.0011571840198463705,0.0011571840198463705,181.2,180.2,False,49.64201608706735,False
15.0,1.5,0.316373104254804,0.0027763344495657614,0.0027763344495657614,181.39999999999998,179.89999999999998,False,69.82048487887265,False
20.0,2.0,0.42183002568119343,0.0043372048406826605,0.0043372048406826605,181.8,179.8,False,93.12828750163091,False
25.0,2.5,0.5272862242167574,0.0073184361161124055,0.0073184361161124055,181.99999999999997,179.49999999999997,False,116.42887523703604,False
30.0,3.0,0.6678930710723778,0.010295026684226005,0.010295026684226005,182.2,179.2,False,147.53104594887833,False
35.0,3.5,0.8084978674988659,0.01536644665342116,0.01536644665342116,182.39999999999998,178.89999999999998,False,178.61835613936728,False
40.0,4.0,0.9491005278699214,0.01949449526383148,0.01949449526383148,182.8,178.8,False,209.7594098347893,False
45.0,4.5,1.0897003821356872,0.026291412958731903,0.024057646591931495,183.0,178.5,False,240.87252149110202,False
50.0,5.0,1.230296875823726,0.03156865051514617,0.03156865051514617,183.2,178.19999999999996,False,272.0520967545693,False
55.0,5.5,1.370889645797734,0.04008760801038088,0.03728006284960014,183.6,178.1,False,303.1907691271111,False
60.0,6.0,1.5114788202243195,0.0465116921374089,0.0465116921374089,183.79999999999998,177.79999999999998,False,334.40850513018216,False
65.0,6.5,1.6520634475134375,0.05674911868646725,0.05336899270769541,184.0,177.5,False,365.5724978667421,False
70.0,7.0,1.7926429657963951,0.06431762986738639,0.06431762986738639,184.20000000000002,177.2,False,396.8280343859773,False
75.0,7.5,1.933217245102027,0.07626983614138699,0.07626983614138699,184.6,177.1,False,428.01710754360823,False
80.0,8.0,2.073786280952707,0.08498027390700844,0.08498027390700844,184.79999999999998,176.79999999999998,False,459.31008497828725,False
85.0,8.5,2.214349052905622,0.09864344633628574,0.09864344633628574,185.0,176.5,False,490.52399903503806,False
90.0,9.0,2.35490496062517,0.10849322553930343,0.10849322553930343,185.2,176.2,False,521.8540584246853,False
95.0,9.5,2.495454296319157,0.12386342080771934,0.12386342080771934,185.6,176.1,False,553.0925742912285,False
100.0,10.0,2.6359965589258656,0.13484986801465962,0.13484986801465962,185.79999999999998,175.79999999999998,False,584.4593573329238,False
105.0,10.5,2.776530834494139,0.15192300775301693,0.14626536425389788,186.0,175.49999999999997,False,615.722236364036,False
110.0,11.0,2.9170564838894766,0.16404335778347065,0.16404335778347065,186.2,175.20000000000002,False,647.1253854295734,False
115.0,11.5,3.057574465315511,0.18281522350464002,0.18281522350464002,186.6,175.09999999999997,False,678.4123894354865,False
120.0,12.0,3.1980833075557475,0.19606661614488238,0.19606661614488238,186.79999999999998,174.79999999999998,False,709.851547588278,False
125.0,12.5,3.338582433321907,0.21653284445930343,0.21653284445930343,187.0,174.5,False,741.162438845922,False
130.0,13.0,3.4790714584684106,0.23091232137471848,0.23091232137471848,187.4,174.4,False,772.6372498577623,False
135.0,13.5,3.619551423409016,0.25306839952083215,0.25306839952083215,187.59999999999997,174.09999999999997,False,803.9717911218409,False
140.0,14.0,3.7600201860272464,0.2685729013887891,0.2685729013887891,187.79999999999998,173.79999999999998,False,835.4818994894347,False
145.0,14.5,3.900477496527793,0.2924141631087657,0.2924141631087657,188.0,173.5,False,866.8398540033965,False
150.0,15.0,4.0409238577826825,0.3090405269907731,0.3090405269907731,188.4,173.39999999999998,False,898.3849049647201,False
155.0,15.5,4.181358848598173,0.33456214877763774,0.33456214877763774,188.6,173.1,False,929.7660364715846,False
160.0,16.0,4.3217808605304,0.35230710574675167,0.35230710574675167,188.79999999999998,172.79999999999998,False,961.3456760220126,False
165.0,16.5,4.462189757118039,0.379504103484734,0.379504103484734,189.2,172.7,False,992.7497487750845,False
170.0,17.0,4.602587086242099,0.3983642765213514,0.3983642765213514,189.4,172.39999999999998,False,1024.3636236833515,False
175.0,17.5,4.742970426791299,0.4176447166836069,0.4176447166836069,189.6,172.10000000000002,False,1055.7904024567545,False
