dmso_volume_percent,dmso_mole_fraction,density_kg_m3,sound_speed_m_s,dynamic_viscosity_mpa_s,surface_tension_mn_m,surface_tension_temperature_extrapolated,half_wavelength_um,liquid_cavity_round_trip_us,focus_after_pp_mm,focus_below_meniscus_mm,focus_scan_boundary_limited,incident_peak_pressure_at_meniscus_mpa,focal_intensity_fwhm_diameter_mm,peak_apex_height_um,peak_apex_height_fixed_80pct_transport_um,transport_property_effect_percent,peak_during_burst_um,apex_at_burst_end_um,peak_time_us,peak_delay_after_burst_us,peak_is_window_clipped,peak_positive_mound_volume_pl,within_reduced_model_validity,peak_apex_height_relative_to_nearest_80pct
70.0,0.37194189609714573,1096.4573308885479,1683.0913078855992,4.047923531922816,52.69963262457234,True,84.15456539427996,5.014582370223774,4.029857959524174,0.19014204047582572,False,1.0158082704295917,0.30676460469177597,3.782775627051754,3.958584267610779,-4.441199900618386,0.3005604887667619,0.3005604887667619,182.6,167.6,False,865.3829052175658,False,0.9361165318089963
71.0,0.3832422917348149,1097.1588770821968,1679.0341861320082,4.033130528998879,52.4413331517596,True,83.95170930660042,5.026699318995542,4.049295183275239,0.17070481672476057,False,1.0150942617509173,0.3065384250787935,3.800181074796084,3.966484050052769,-4.1927050041830505,0.3014172970325049,0.3014172970325049,183.0,168.0,False,867.5916858684444,False,0.9404238259716438
72.0,0.3949071395492772,1097.6237637877819,1674.4592661725562,4.017917134565841,52.136967585392526,True,83.72296330862781,5.040433153857468,4.040476555621389,0.17952344437861117,False,1.0139298405401507,0.30635819716905077,3.8198951781388226,3.9750769474772514,-3.9038683122074813,0.30228499554520527,0.30228499554520527,183.39999999999998,168.39999999999998,False,870.1935055127785,False,0.9453024388919962
73.0,0.4069543595841936,1098.0726437441053,1669.7068664432688,4.00226528356986,51.82262495466141,True,83.48534332216344,5.0547794763391565,4.05068819483304,0.16931180516695926,False,1.011957382152428,0.3064688367971495,3.838280072316479,3.9817741771548025,-3.603773053268877,0.3024694324487406,0.3024694324487406,184.0,169.0,False,872.6200038333124,False,0.9498521148633084
74.0,0.4194030662930069,1098.5364831118213,1664.796087838622,3.9861558686838148,51.49940257806301,True,83.2398043919311,5.069689952814291,4.069935343597468,0.15006465640253225,False,1.0103952316975118,0.3063424534332189,3.858437037230895,3.989777821890206,-3.2919322960466624,0.30317588283671904,0.30317588283671904,184.39999999999998,169.39999999999998,False,875.1324538944672,False,0.9548403219228387
75.0,0.43227366973772446,1099.016042370752,1659.718878976398,3.9695686647286816,51.23135730838818,True,82.9859439488199,5.085198527840581,4.080247744712683,0.13975225528731727,False,1.0087784457673166,0.30620857399900697,3.877077187305522,3.9978922609725758,-3.021969222293719,0.30391584390696286,0.30391584390696286,184.6,169.59999999999997,False,877.5754504020182,False,0.9594531656018224
76.0,0.4455879872541862,1099.5121344358045,1654.466633331553,3.918299783926172,50.95407117766669,True,82.72333166657765,5.101341924922721,4.099607348887973,0.12039265111202668,False,1.007215761098956,0.3060145830685959,3.900589489157151,4.006475851209236,-2.6428803263628065,0.3048327665305402,0.3048327665305402,185.0,169.99999999999997,False,881.0155306661007,False,0.9652717117262055
77.0,0.45936936686888025,1100.0256292554882,1649.030140550625,3.8636305069793977,50.51774143084486,True,82.45150702753125,5.1181599368352435,4.137341045651159,0.08265895434884149,False,1.0057380958540367,0.305708441770901,3.930547071771676,4.0154394189085725,-2.114148372831659,0.3059752145295472,0.3059752145295472,185.6,170.59999999999997,False,884.833512150695,False,0.972685259634768
78.0,0.47364282393590823,1100.5574589030136,1643.3995325510418,3.807813177653129,49.9190015186756,True,82.1699766275521,5.135695753118918,4.12511224965203,0.09488775034796962,False,1.0039729961470434,0.3055099619472461,3.9664128028521577,4.024074872995918,-1.4329273674977827,0.3069137665503915,0.3069137665503915,186.6,171.59999999999997,False,889.0746614960166,False,0.9815608861852178
79.0,0.48843519267626495,1100.8521940631956,1637.7415871811313,3.750817351527465,49.298494411057234,True,81.88707935905657,5.153438165130107,4.144755460278044,0.07524453972195586,False,1.001993963767949,0.305315771147378,4.0035799315131335,4.032451805769226,-0.7159880798769946,0.30786813364931526,0.30786813364931526,187.4,172.39999999999998,False,893.5330260508447,False,0.9907585672029863
