height_mm,intensity_with_reverberation_w_m2_for_1Pa_aperture,single_pass_intensity_w_m2_for_1Pa_aperture,interference_gain,interference_gain_db,cavity_orders_retained,cavity_series_converged
2.0,0.0002642515212333702,0.00026474499585534044,0.9981360379622061,-0.008102638127990785,19,True
2.002,0.00026830899080034865,0.0002647049004474079,1.013615502950074,0.05873244332154499,19,True
2.004,0.00027176380435848857,0.0002646648138977887,1.026822569861672,0.1149540602458653,19,True
2.006,0.00027453498272790583,0.00026462473614076546,1.037450189773146,0.15967254467538886,19,True
2.0080000000000005,0.0002766263761844969,0.0002645846671108317,1.0455117418751294,0.19328914631395672,19,True
2.0100000000000002,0.0002781327276242871,0.0002645446067426965,1.0513641954334256,0.21753182887406616,19,True
2.012,0.00027940209362528194,0.0002645292492591791,1.0562238180002954,0.2375595666645796,19,True
2.0140000000000002,0.0002806872047192055,0.0002644891945777928,1.0612426158553274,0.25814681433925074,19,True
2.016,0.00028242520407727525,0.0002644491448440589,1.067975486340924,0.2856128427582453,19,True
2.018,0.00028488405412418837,0.0002644091000241508,1.0774366468407002,0.32391743114544436,19,True
2.02,0.00028804265490567046,0.000264369060085011,1.089547524256609,0.3724617820069063,19,True
2.022,0.0002917200167667519,0.000264329024994352,1.1036246086595491,0.4282137582843662,19,True
2.024,0.00029555068584314096,0.00026428899472065746,1.1182860117029307,0.4855289247585482,19,True
2.026,0.00029904592684181256,0.0002642489692331811,1.1316824724410774,0.5372458956343181,19,True
2.028,0.00030176990897507567,0.00026420894850194836,1.1421638467814814,0.5772840920662071,19,True
2.0300000000000002,0.00030331480584504044,0.0002641689324977556,1.148185000322161,0.6001186902535915,19,True
2.032,0.00030338337468286525,0.0002641289211921701,1.148618535651138,0.6017582036065797,19,True
2.0340000000000003,0.0003018592355265214,0.00026408891455752915,1.1430212284081478,0.5805429627008979,19,True
2.036,0.0002986131592877871,0.00026397605278573105,1.1312130632174084,0.5354441170254024,19,True
2.038,0.0002940497223905656,0.00026393659960309584,1.1140922586437556,0.46921156511715195,19,True
2.04,0.0002882175617992419,0.00026389715694715923,1.0921586466994504,0.38285728461893437,19,True
2.042,0.00028142982736966245,0.00026385772475698055,1.066596885229971,0.28000311083768414,19,True
2.044,0.0002739063356982956,0.0002637832256396247,1.0383766254814888,0.16354903321217723,19,True
2.0460000000000003,0.00026608518445074,0.00026374378004012596,1.0088775720521554,0.03838467517244595,19,True
2.048,0.0002582197491199128,0.0002637043429514712,0.9792017311123021,-0.09127827416798531,19,True
2.0500000000000003,0.0002505970826177406,0.0002636649143367723,0.9504377298287761,-0.22076331694532542,19,True
2.052,0.00024347716043956883,0.00026362549415949677,0.9235721348416404,-0.3452917868586115,19,True
2.054,0.00023710198522520562,0.00026358608238347196,0.8995239167455868,-0.45987285044891796,19,True
2.056,0.0002316950900551911,0.0002635466789728873,0.879142514556319,-0.5594071733978577,19,True
2.058,0.0002274635396350934,0.00026350728389229775,0.8632153778643312,-0.6388083145983705,19,True
2.06,0.00022458939119543857,0.0002634678971066256,0.8524355098357471,-0.693384672115862,19,True
2.062,0.00022324368423513175,0.00026342851858116435,0.8474545027908535,-0.7188360842549334,19,True
2.064,0.0002234012167930728,0.0002633891482815808,0.8481792748509206,-0.7151234367523375,19,True
2.0660000000000003,0.00022511937213433338,0.00026334978617391727,0.8548302825872189,-0.6812010123939607,19,True
