dmso_percent,basis,temperature_c,transducer_diameter_mm,transducer_focal_length_mm,dmso_mole_fraction,density_kg_m3,sound_speed_m_s,focus_from_plate_exit_mm,focus_from_aperture_mm,distance_focus_to_mixture_top_mm,focus_scan_boundary_limited,focus_inside_mixture,peak_for_1Pa_aperture_pa,reference_concentration_percent,peak_relative_to_max_sweep_concentration
70.0,volume,22.0,13.0,25.4,0.37194189609714573,1096.457330888548,1683.0913078855992,3.2436620571732564,24.023662057173258,0.9763379428267434,False,True,35.906265067749636,100.0,1.079953784845236
71.0,volume,22.0,13.0,25.4,0.3832422917348149,1097.158877082197,1679.0341861320082,3.258391421831204,24.038391421831204,0.961608578168796,False,True,35.86499955698421,100.0,1.0787126408707624
72.0,volume,22.0,13.0,25.4,0.3949071395492772,1097.6237637877819,1674.459266172556,3.296879599124983,24.076879599124986,0.9231204008750167,False,True,35.81133591723138,100.0,1.0770985980080394
73.0,volume,22.0,13.0,25.4,0.4069543595841936,1098.0726437441053,1669.7068664432688,3.282417866503478,24.06241786650348,0.9375821334965218,False,True,35.75475086149951,100.0,1.0753966876314516
74.0,volume,22.0,13.0,25.4,0.4194030662930069,1098.5364831118213,1664.796087838622,3.2930906812581884,24.07309068125819,0.9269093187418114,False,True,35.695679946465305,100.0,1.0736200099919062
75.0,volume,22.0,13.0,25.4,0.43227366973772446,1099.016042370752,1659.718878976398,3.303388002800831,24.08338800280083,0.9166119971991686,False,True,35.634411045361844,100.0,1.0717772234610559
76.0,volume,22.0,13.0,25.4,0.4455879872541862,1099.5121344358047,1654.466633331553,3.322462814469433,24.102462814469433,0.8975371855305667,False,True,35.57133749819131,100.0,1.0698801585376532
77.0,volume,22.0,13.0,25.4,0.45936936686888025,1100.0256292554882,1649.030140550625,3.3314270919381554,24.111427091938157,0.8885729080618443,False,True,35.505388800617624,100.0,1.0678966176314648
78.0,volume,22.0,13.0,25.4,0.47364282393590823,1100.5574589030136,1643.3995325510418,3.3523963135957886,24.13239631359579,0.8676036864042111,False,True,35.43602915056083,100.0,1.0658104854076582
79.0,volume,22.0,13.0,25.4,0.48843519267626495,1100.8521940631956,1637.7415871811313,3.370341419522695,24.150341419522697,0.8496585804773047,False,True,35.3616330607412,100.0,1.0635728720377686
80.0,volume,22.0,13.0,25.4,0.5037752945507478,1100.987821936803,1631.9958165935382,3.351909215042404,24.131909215042405,0.8680907849575958,False,True,35.28365043570215,100.0,1.061227386343164
81.0,volume,22.0,13.0,25.4,0.5196941256892575,1101.0950227949766,1626.0821026984224,3.3778005516587437,24.157800551658745,0.842199448341256,False,True,35.20140758221923,100.0,1.0587537656330244
82.0,volume,22.0,13.0,25.4,0.536225065941131,1101.2063457285512,1619.9409953384518,3.381085355488398,24.1610853554884,0.8389146445116018,False,True,35.11717973496529,100.0,1.0562204422071646
83.0,volume,22.0,13.0,25.4,0.5534041125133384,1101.3220331505186,1613.5591218494405,3.399635613480252,24.179635613480254,0.8203643865197479,False,True,35.02909413472048,100.0,1.0535710890317438
84.0,volume,22.0,13.0,25.4,0.5712701416379485,1101.4423468618486,1606.9220400332285,3.4109732252395104,24.19097322523951,0.8090267747604893,False,True,34.93599498000606,100.0,1.0507709430318737
85.0,volume,22.0,13.0,25.4,0.5898652022719755,1101.5675700293295,1600.0141290506224,3.4318664573644746,24.211866457364476,0.7881335426355252,False,True,34.83987859019646,100.0,1.04788004756378
86.0,volume,22.0,13.0,25.4,0.6092348464997298,1101.677440304366,1592.9175380924578,3.4513259205097637,24.231325920509764,0.768674079490236,False,True,34.74028301069154,100.0,1.0448845084054394
87.0,volume,22.0,13.0,25.4,0.629428502102482,1101.5485216905383,1586.6961581750627,3.4705425393632345,24.250542539363234,0.7494574606367652,False,True,34.64820360171098,100.0,1.0421150333278384
88.0,volume,22.0,13.0,25.4,0.6504998937103871,1101.407225340953,1580.2397803339927,3.48988945572908,24.269889455729082,0.7301105442709197,False,True,34.552050438438606,100.0,1.039223031823229
89.0,volume,22.0,13.0,25.4,0.6725075200917185,1101.2596509743146,1573.4965355617928,3.479966586050526,24.259966586050528,0.7400334139494738,False,True,34.45055692387649,100.0,1.036170408416651
