cycles,terminal_peak_v,aperture_peak_provisional_au,first_surface_gated_peak_provisional_au,global_composite_peak_provisional_au,plate_front_peak_provisional_au,net_absorbed_load_energy_uj,absolute_calibration
1.0,75.0,64.05122704081465,9.511447969907616,12.892565343873395,12.88687830325727,5.624999999999999,False
2.0,75.0,74.97238260725413,10.42640257989002,16.36135766416117,16.356286075958362,11.250000000000005,False
4.0,75.0,75.20699482766159,11.274710725961235,16.319005741261147,16.321939579130927,22.500000000000004,False
8.0,75.0,75.620718316079,11.427230993514529,21.915474393718675,21.945141369813534,44.99999999999997,False
16.0,75.00000000000001,75.5978635350209,11.436250724146207,22.916337804857545,22.946639038299125,90.0,False
